,names_with_relation_is_from_with_unknown_origin_in_node,cities_with_relation_is_from_with_unknown_origin_in_node
0,Ptolemais/Barkes Limen,Aethiops
1,Teos,Alexamenus
2,Styra,Alexamenus
3,Macedon,Amyntas
4,Laodicea,Antiochus
5,Nicaea,Apollonides
6,Macedon,Archelaus II
7,Croto,Aston
8,Croto,Brontinus
9,Megalopolis,Cercidas
10,Lacedaemon/Laconia,Chilon
11,Cyrenaica,Clitarchus
12,Croto,Cylon
13,Sinope,Diogenes II
14,Seleucia,Diogenes III
15,Eubulus,Euphranor
16,Seleucia,Euphranor
17,Lebedos/Ptolemais,Gorgiadas
18,Sinope,Hegesias II
19,Aenus,Heraclides III
20,Perinthus,Hestiaeus
21,Lacedaemon/Laconia,Hippasus III
22,Macedon,Hipponicus
23,Sinope,Menippus
24,Nicomedia,Menodotus II
25,Salento,Messapians
26,Maroneia,Metrocles
27,Stratonicea,Metrodorus V
28,Astypalaea,Onesicritus
29,Macedon,Philip
30,Opus,Philippus V
31,Lacedaemon/Laconia,Pollis
32,Croto,Pythagoras II
33,Aenus,Python
34,Lacedaemon/Laconia,Sosibius
35,Laodicea,Theiodas
36,Perga,Zolus
37,Maroneia,Hipparchia
