,Source,SourceColor,SourceSize,Destination,DestinationColor,DestinationSize,Philosopher,SourceLatitude,SourceLongitude,DestLatitude,DestLongitude
0,Syria,#440154,4,Athenae,#fde725,6,A Magician,38.295542,20.592532000000002,37.971687,23.726464
1,Athenae,#fde725,6,Sicily,#3e4a89,4,Aeschines,37.971687,23.726464,37.59995833,14.01537778
2,Athenae,#fde725,6,Syracuse,#482878,4,Aeschines,37.971687,23.726464,37.05963,15.293820000000002
3,Athenae,#fde725,6,Megara (Attica),#482878,4,Aeschines,37.971687,23.726464,37.99471,23.343239999999998
4,Agrigentum,#440154,4,Taras/Tarentum/Neptunia,#440154,4,Agrigentines,37.289646000000005,13.591997000000001,40.469229,17.240045000000002
5,Athenae,#fde725,6,Potidaea,#440154,4,Alcibiades,37.971687,23.726464,40.193696,23.327811999999998
6,Elis,#482878,4,Olympian Zeus sanctuary (Eleia),#440154,4,Alexinus,37.891781,21.375091,37.63794,21.63042
7,Skythai,#440154,4,Sardis,#440154,4,Anacharsis,47.5,27.5,38.488314,28.040286
8,Athenae,#fde725,6,Skythai,#440154,4,Anacharsis,37.971687,23.726464,47.5,27.5
9,Clazomenae,#482878,4,Halicarnassus,#440154,4,Anaxagoras,38.3614,26.7703,37.032061999999996,27.429126
10,Clazomenae,#482878,4,Lampsacus,#440154,4,Anaxagoras,38.3614,26.7703,40.346685,26.699162
11,Athenae,#fde725,6,Clazomenae,#482878,4,Anaxagoras,37.971687,23.726464,38.3614,26.7703
12,Clazomenae,#482878,4,Ionia region (Asia Minor),#440154,4,Anaxagoras,38.3614,26.7703,37.474596000000005,27.508323999999998
13,Olympian Zeus sanctuary (Eleia),#440154,4,Clazomenae,#482878,4,Anaxagoras,37.63794,21.63042,38.3614,26.7703
14,Abdera,#482878,4,Cyprus,#440154,4,Anaxarchus,40.95,24.983333,35.14052197,33.40349071
15,Carystus,#440154,4,Lysimachia,#440154,4,Antigonus,38.016541,24.420381,38.535856,21.336882
16,Athenae,#fde725,6,Macedonia,#440154,4,Antigonus III,37.971687,23.726464,41.25,21.75
17,Athenae,#fde725,6,Heraclea,#440154,4,Anytus,37.971687,23.726464,40.213021000000005,16.678299
18,Athenae,#fde725,6,Pitane,#482878,4,Arcesilaus,37.971687,23.726464,38.928297,26.937453
19,Sardis,#440154,4,Pitane,#482878,4,Arcesilaus,38.488314,28.040286,38.928297,26.937453
20,Miletus,#440154,4,Samos,#3e4a89,5,Archelaus,37.531526,27.279560999999998,37.73,26.84
21,Taras/Tarentum/Neptunia,#440154,4,Lucania,#440154,4,Archytas,40.469229,17.240045000000002,40.75,15.75
22,Megara (Attica),#482878,4,Cyrene,#482878,4,Aristippus,37.99471,23.343239999999998,32.8180895,21.8578913
23,Cyrene,#482878,4,Asia,#440154,4,Aristippus,32.8180895,21.8578913,38.00339058,28.583242
24,Cyrene,#482878,4,Corinth,#482878,4,Aristippus,32.8180895,21.8578913,37.906045,22.878721
25,Athenae,#fde725,6,Cyrene,#482878,4,Aristippus,37.971687,23.726464,32.8180895,21.8578913
26,Stagira,#482878,4,Academy of Plato (Athens),#440154,4,Aristotle,40.593030999999996,23.79204,37.971421,23.726166
27,Athenae,#fde725,6,Stagira,#482878,4,Aristotle,37.971687,23.726464,40.593030999999996,23.79204
28,Stagira,#482878,4,Chalcis,#440154,4,Aristotle,40.593030999999996,23.79204,38.457139,23.621937
29,Stagira,#482878,4,Borboros,#440154,4,Aristotle,40.593030999999996,23.79204,40.75,22.75
30,Stagira,#482878,4,Mitylene,#440154,4,Aristotle,40.593030999999996,23.79204,39.110475,26.547047999999997
31,Macedonia,#440154,4,Stagira,#482878,4,Aristotle,41.25,21.75,40.593030999999996,23.79204
32,Phlius,#482878,4,Eretria,#482878,4,Asclepiades,37.831664,22.641069,39.29195,22.605929999999997
33,Elis,#482878,4,Phlius,#482878,4,Asclepiades,37.891781,21.375091,37.831664,22.641069
34,Sardis,#440154,4,Pitane,#482878,4,Autolycus,38.488314,28.040286,38.928297,26.937453
35,Athenae,#fde725,6,Borysthenes (Olbia),#440154,4,Bion,37.971687,23.726464,46.691895,31.901597
36,Borysthenes (Olbia),#440154,4,Rhodos (island),#440154,4,Bion,46.691895,31.901597,36.195597,27.964125
37,Athenae,#fde725,6,Syracuse,#482878,4,Carcinus,37.971687,23.726464,37.05963,15.293820000000002
38,Athenae,#fde725,6,Mantinea,#440154,4,Cephisodorus,37.971687,23.726464,37.616619,22.391896
39,Tarsus,#440154,4,Ancient Egypt (region),#482878,4,Chrysippus,36.920059,34.900117,27.884515999999998,28.39896735
40,Athenae,#fde725,6,Assos,#440154,4,Cleanthes,37.971687,23.726464,39.491621,26.339656
41,Athenae,#fde725,6,Carthago,#440154,4,Clitomachus,37.971687,23.726464,36.8501382,10.31556135
42,Athenae,#fde725,6,Soli,#440154,4,Crantor,37.971687,23.726464,35.136687,32.814175
43,Thebes,#482878,4,Boeotia,#440154,4,Crates II,38.319236,23.317355,38.35,23.25
44,Athenae,#fde725,6,Phalerum,#440154,4,Demetrius,37.971687,23.726464,37.937309,23.706248000000002
45,Phalerum,#440154,4,Alexandria at Egypt,#440154,4,Demetrius,37.937309,23.706248000000002,31.201434999999996,29.909772999999998
46,Macedonia,#440154,4,Cyrene,#482878,4,Demetrius XXVIII,41.25,21.75,32.8180895,21.8578913
47,Abdera,#482878,4,Persia,#440154,4,Democritus,40.95,24.983333,34.5,46.5
48,Abdera,#482878,4,Aethiopia,#440154,4,Democritus,40.95,24.983333,12.5,37.5
49,Abdera,#482878,4,Red Sea,#440154,4,Democritus,40.95,24.983333,19.0,39.5
50,Abdera,#482878,4,Ancient Egypt (region),#482878,4,Democritus,40.95,24.983333,27.884515999999998,28.39896735
51,Abdera,#482878,4,India,#440154,4,Democritus,40.95,24.983333,22.5,77.5
